hindi,english
पेजर (_ P): ,_ Pager:
नहीं चेतावनी,Do not show that warning again
छवि की डिस्क बर्निंग का सिमुलेशन,Simulation of image to disc burning
परस्पर विरोध इंच कॉपी करें. ,Resolve conflicts in your working copy.
अनधिकृत,Unauthorized
देखें (_ V) ,_ View
प्रोफाइलिंग,Profiling
क्षैतिज ढाल,Horizontal gradient
DAO प्रयोग की अनुमति दें,Allow DAO use
अस्थायी फ़ाइल का स्थान,Location for Temporary Files
दिखाएँ,Show shared library mappings
किसी md5 फ़ाइल को डिस्क को जाँचने के लिए प्रयोग करें (_ m) ,Use a _ md5 file to check the disc
टर्मिनल,Terminal
पाठ रंग (_ T) ,Text color
लाइब्रेरी,Library
% d.% s,% d.% s
जापानी,Japanese
बदलेंto pop up a dialog,Replace selection
प्रभाव (_ E) ,_ Effects
जेनेरिक wx विजेट प्रोजेक्ट,A generic wx Widgets project
पाठ रंग (_ T) ,_ Text Color
काटें (_ u) ,C _ ut
डीवीडी लिख रहा है,Burning DVD
रैण्डर करने के लिए पाठ,Text to render
नई pluginviews उपलब्ध है,Available new pluginviews
"नाम (x, y) ","name (x, y)"
के साथ खोलेंः,Open with:
X विस्तार,X Expand
कर्ता का स्वतः तुल्यकालित आकार pixbufआकार को अन्तर्निहित करने के लिए,Auto sync size of actor to underlying pixbuf dimensions
सभी कोलैप्स करें (_ C) ,_ Collapse All
ईंट का छक्का,the six of diamonds
"""% s"" एक पुनरावर्ती सांकेतिक कड़ी है","""% s"" is a recursive symbolic link."
के साथ खोलेंः,Open with:
"नक़ल लें, लिखे और सीडी रिक्त करें","Copies, burns and blanks CDs"
क्विक ढूंढें,_ Quick Search
दक्षिण यूरोपीय,South European
स्थिति,State
इस वस्तु की पहुँच योग्य भूमिका,The accessible role of this object
नोर्डिक,Nordic
बैकअप फ़ाइलें बनाएँ,Create backup files
घटक,Contents
चमकीलापन,Brightness
अगला y,Next Histor _ y
को प्लगइन पंजीयन फंक्शन से. इंच से. ,Unable to find plugin registration function% s in module% s
को मिटाएं सभी? ,Are you sure you want to delete all the breakpoints?
देखें (_ V) ,_ View
'% s-- help' को उपलब्ध कमांड लाइन विकल्पों की पूरी सूची के लिए चलाएँ. ,Run '% s - - help' to see a full list of available command line options.
तुर्की,Turkish
मौजूदा परिवर्तित परियोजना के साथ जारी रखें,Continue with the current modified project
जोड़ें लक्ष्य,Cannot add target
चयनित निर्देशिका इंच प्लगइन,Selected directory in the project manager plugin
स्मार्ट हाशिया सक्रिय करें,Enable smart indentation
कई डिस्क लिखें (_ B) ,_ Burn Several Discs
पता पुस्तिका,Address Book
जोड़ें को,Add to repository
burn:// URI की अंतर्वस्तु लिखें,Burn the contents of the burn: / / URI
ऑडियो इनपुट डिवायस,Audio input device
अंकः,Score:
कुछ OpenGL को ट्रेस करें,Trace some OpenGL
वर्ण,Hue
ध्वनि आवाज़,Audio Volume
चौड़ाई विभेदन,Video resolution
कर्ता का आबंटन,The actor 's allocation
त्रुटि पर जारी रखें,Continue on errors
मौजूदा सम्मिलित डिस्क खाली नहीं किया जा सका. ,The currently inserted disc could not be blanked.
खोज स्ट्रिंग की अगली उपस्थिति ढूंढें,Find next occurrence of the search string
मौजूदा चयन,Currently selected text in editor
एटलस के छवियों को डंप करें,Dump atlas images
परियोजना नामः,Package name:
चयन सीमा,Selection - bound
को process d नहीं,Attaching to process:% d…
Anjuta फाइल सहायक प्लगिन,Anjuta File Assistant Plugin
TCP पोर्ट की संख्या जो Ekiga H. 323 H. 245 चैनल के लिए प्रयोग करेगा. इस पोर्ट परिसर का कोई प्रभाव नहीं है यदि सम्मेलन के दोनों सहभागी H. 245 टनेलिंग का प्रयोग कर रहे हैं. ,The range of TCP ports that Ekiga will use for the H. 323 H. 245 channel. This port range has no effect if both participants to the conference are using H. 245 Tunneling.
कीवर्ड,Keyword
मदद,_ Help
प्वाइंटर रखता है,Has Pointer
स्थान-विशिष्टः,Locale:
बांधने के लिए निर्देशांक,The coordinate to bind
वस्तु,Item
भेजे जाने वाले मेल,Outgoing mail servers
~ a को एक ईंट का पंजा पर ले जाएँ,Move ~ a onto the five of diamonds.
फाइल नक़ल की जा रही है,Copying file
विंडो को अन्य विंडो के ऊपर वीडियो रखें (_ a) ,Place windows displaying video _ above other windows
कृपया एंटर a संदेश. ,Please enter a log message.
आस्पेक्ट रेशो बनाए रखें,Keep Aspect Ratio
नाम बदलें (_ e) ,R _ ename…
मौजूदा फ़ॉन्टकॉन्फ़िग विन्यास का टाइमस्टैंप,Timestamp of the current fontconfig configuration
राज्य,States
परिवर्धित,Modified
चल छवि का प्रयोग करें,Use Animations
शटर आवाज,Shutter sound
मेनू (_ M): ,_ Menus:
छाँटें (_ S) ,_ Sort
सामान्य जमावट,General Settings
श्रेणी,Category
कॉपी करें (_ C) ,_ Copy
कुल समय नहीं,Total time taken:% lu secs
निर्यात,_ Export snippets …
कृपया सीडी/डीवीडी बर्नर में फिर डिस्क घुसाएँ. ,Please re - insert the disc in the CD / DVD burner.
चयनित निर्देशिका इंच प्लगइन,Select a build directory inside the project directory
पैरामीटर्सः,ParamSpec
लाल पान का अट्ठा,the eight of hearts
libburn ट्रैक बनाई नहीं जा सकी,libburn track could not be created
निर्दिष्ट परियोजना लिखें और इसे हटाएँ. यह विकल्प एकत्रण के लिए मुख्य रूप से उपयोगी है दूसरे अनुप्रयोगों के साथ. ,Burn the specified project and remove it. This option is mainly useful for integration with other applications.
पाठ की दिशा,Direction of the text
"उस तरह से, पिछले सत्र से पुरानी फाइलें लिखने के बाद प्रयोग लायक होगी. ","That way, old files from previous sessions will be usable after burning."
लाल जोकर,Remove the red joker.
ई-मेल पताः,Author Email Address:
ड्राइव खाली है. ,The drive is empty
पहुँच योग्य सारणी स्तंभ वर्णन,Accessible Table Column Description
कोण y झुकाव,Angle y tilt
कोई प्रभाव नहीं,Choose an Effect
पुस्तकचिह्न हटाएँ,Remove bookmark
लंच,Lunch
क्षैतिज टाइल,Horizontal Tiles
खाली,Idle
"विडियो सूचना संपादित करें (start, end, author,...) ","Edit the video information (start, end, author, etc.)"
ढूंढें (_ S) ,_ Search
अनुलंब अक्ष में बच्चे के लिए अतिरिक्त स्थान आबंटित,Allocate extra space for the child in vertical axis
जावा मोड्यूल,Java Module
मददगार तकनीक पँहुच हेतु प्रारूपित वस्तु का वर्णन,"Description of an object, formatted for assistive technology access"
default: RTLpredefinito: LTR,The manager that created this data
फ्रेम में अधिकतम प्रेषित ढांचा. यह दर नहीं पहुँच सकता है उस स्थिति में न्यूनतम गुणवत्ता को को TSTO मान से विन्यस्त किया जाना है जो 31 से छोटा है और चुना गया बिटरेट इस न्यूनतम गुणवत्ता को समर्थन देने के लिए पर्याप्त नहीं है,The maximum transmitted frame rate in frames / s. This rate may not be reached in case a minimum quality was configure via a TSTO value smaller than 31 and the bitrate selected is not sufficient to support this minimum quality
फ़ाइल बंद करें,_ Close File
जाएँ को प्रारंभ का,Go to the start of the current block
बदलें (_ R) ,_ Replace
तारीख़,Date
नहीं अंतिम और फ़ाइल पर,Do not load last project and files on startup
ईंट का बादशाह,the king of diamonds
टेरेस,Terrace
बग बड्डी,Bug Buddy
सांख्यिकी (_ t) ,S _ tatistics
कृपया कोई डिस्क छवि चुनें. ,Please select a disc image.
दिखाएँ स्थिति का a फ़ाइल निर्देशिका,Show the status of a file / directory
संशोधनीय,Editable
स्थिर घोषणाओं को छोड़ दें,Goto line
डेस्कटॉप खोज के बारे में,About Desktop Search
तस्वीर (_ P) ,_ Photo
- डिस्क प्रयोग विश्लेषण,- Disk Usage Analyzer
सारणी पंक्ति शीर्षिका बदल चुका है यह बताने हेतु उपयोग में आता है,Is used to notify that the table row header has changed
पहुँच योग्य भूमिका,Accessible Role
हटाएं (_ m) ,Re _ move
"""-immed"" फ्लैग सक्रिय करें (देखें wodim manual) ","Enable the ""- immed"" flag (see wodim manual)"
को से. से. ,Unable to extract project template% s:% s
% s तत्व को बनाया नहीं जा सका,% s element could not be created
ईंट का बादशाह,the king of diamonds
विडियो इनपुट युक्ति% s जोड़ा,Added video input device% s
विराम चिह्न अन्य यह प्लगइन डिपेंड्स पर प्राथमिक अतरफलक नाम या प्लगइन स्थान वर्ग,"Comma separated, other plugins that this plugin depends on. It could be either primary interface name or plugin location (library: class)"
छवि आउटपुट के लिए कोई पथ निर्दिष्ट नहीं था,No path was specified for the image output
क्वातोर्जे,Quatorze
लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... ,I could sure use a backrub right about now...
क्या पंक्ति मार्कर pixbufs प्रदर्शित करें,Whether to display line marker pixbufs
वीडियो इनपुट डिवाइस,Video input device
मेक चयनित पाठ,Make the selected text uppercase
स्वयं,Self
मत सहेजें,Don 't save
अवधि को हाइलाइट रकें,Highlight duration
"सिर्फ इसलिए कि हापस्काच बोर्ड पारपथ जैसे दिखता है, इसका मतलब यह नहीं कि वह यही है",Just because a crosswalk looks like a hopscotch board doesn 't mean it is one
नीचे का एक खाली खाँचा,an empty bottom slot
कर्ता की अपारदर्शिता,Opacity of an actor
फ़िल्टर,Filter
अगला प्रभाव,No Effect
जानकारी (_ I) ,_ Info
फ़ॉन्ट वर्णन को स्ट्रिंग की तरह प्रयोग करें,Font description as a string
ग्लेड फाइल,_ Glade
बनाएँ (G) a,Generate a patch series
xml-rpc अनुक्रिया के विश्लेषण में विफल. अनुक्रिया आती हैः% s,Failed to parse the XML - RPC response. Response follows:% s
ढूंढें के लिए का मद. ,Search for next appearance of term.
संदेश जोड़ें,Attach _ Message (s)
उभारें,Highlight
ताश के खेलः,Card games:
प्लग-इन दृश्य,Plugin View
नीचे जायें,Move Down
ऐसे फाइल सहेजें,Save file as
~ a को एक लाल पान का बादशाह पर ले जाएँ,Move ~ a onto the king of hearts.
Y अक्ष पर अनुवाद,Translation along the Y axis
डिस्क छवि चुनने के लिए यहाँ क्लिक करें (_ i) ,Click here to select a disc _ image
अखंडता जाँचें (_ C)... ,_ Check Integrity…
कठिन,Hard
संरचना स्लाइस की रचना को डीबग करें,debug the creation of texture slices
नाम बदलें (_ R) ,_ Rename
A के साथ नाम उपस्थित है! ,A tool with the same name already exists!
प्रोग्राम पैरामीटर... ,Program Parameters...
कृपया एंटर a. ,Please enter a commit.
डिस्क फ़ाइल,Disc file
को पुनःभारित करें से.. ,Are you sure you want to reload '% s'? Any unsaved changes will be lost.
प्रोजेक्ट साफ करें (_ C) ,_ Check Project
Anjuta स्थिति,Anjuta Status
को पुनःभारित करें से.. ,Are you sure you want to reload '% s'? Any unsaved changes will be lost.
कृपया डिस्क को फिर लिखने योग्य डिस्क आँकड़ा से बदलें. ,Please replace the disc with a rewritable disc holding data.
रोकें,Held
Anjuta प्लगइन,Anjuta plugin project that uses libanjuta framework
प्रोग्राम है को रोकें? ,The program is attached. Do you still want to stop the debugger?
प्राथमिकताएँ,_ Preferences
क्या आप वाकई नई परियोजना बनाना चाहते हैं और मौजूदा में किए गए परिवर्तन को छोड़ना चाहते हैं? ,Do you really want to create a new project and discard the changes to current one?
डिस्क इमेज़ एक सीडी या डीवीडी पर लिखें,Creates disc images suitable for SVCDs
त्यागें (_ D) ,_ Discard
प्रोग्राम पैरामीटर,Program Parameters
नहीं खोलें से. से. ,Could not open% s:% s
विंडो प्रतिचित्रित,Window Mapped
प्रोजेक्ट संस्थापित करें (_ I) ,Install directory:
लिखे जाने के लिए कोई ट्रैक नहीं है,There is no track to burn
GL शीर्ष उद्धरण ऑब्जेक्ट के प्रयोग को अक्षम करें,Disable use of OpenGL vertex buffer objects
% s (library) ,% s (library)
देखें (_ V) ,_ View
योजना अपवाद उत्पन्न हुआ,A scheme exception occurred
चिपकाएं,Paste
ढूंढें,Search
कचरे वाले मेलबाक्स से संदेशों को मिटाएँ,Removing messages from source mailbox failed
क्या पूर्णस्क्रीन में आरंभ करना है,Whether to start in fullscreen
% s ध्वनि और आँकड़ा% s में,Audio and data% s in% s
चिड़ी का नहला,the nine of clubs
अज्ञात त्रुटि,Unknown error
बाहर निकालें (_ E) ,_ Eject
फ़ाइल निर्देशिका को,File / Directory to patch
प्लगइन को के लिए,The plugin manager to use for resolving plugins
नाम बदलें (_ e) ,R _ ename…
नया फ़ाइल,New _ Folder
नया संदेश,"Message from% s, subject: ""% s"""
हुकुम का सत्ता,the seven of spades
CD/DVD सर्जक,CD / DVD Creator
रूप,Appearance
_ PAL/SECAM,_ PAL / SECAM
ऐसी फाइलें हमेशा जोड़े (_ w) ,Al _ ways Add Such File
रेपोसिटरी जोड़ें,Add to Repository
दोहरा क्लिक दूरी,Double Click Distance
लोड हो रहा है से. नहीं,Loading Executable:% s
जेनेरिक C + + प्रोजेक्ट,A generic C + + project
चीनी पारम्परिक,Chinese Traditional
प्रारंभ,Start
संदेश सहेजें,Copy message
लागू नहीं,N / A
कालटिप्स दिखाएँ,Show calltips
सबको छोड़ें (_ k) ,S _ kip All
कॉन्फ़िगर संकुल,Configure external packages
को को रिमोट लक्ष्य से. को? ,"Unable to connect to remote target,% s Do you want to try again?"
विंडो ऊंचाई,Window height
हाल का खोलें (_ R) ,Open _ Recent
इनक्लूड यह लक्ष्य इंच वितरित पैकेज. ,Include this target in the distributed package.
अज्ञात त्रुटि,Unknown error
देखें (_ V) ,_ View
खोलें (_ O) ,_ Open
पथ सभी फ़ाइल इंच सूची को,Path that all files in the list should be relative to
नाम (_ N): ,_ Name:
सभी बंद करें,Colors & Fonts
आवरण संपादक (_ C) ,_ Cover Editor
मिलाएँ (_ g) ,Mer _ ge
% s मुफ़्त सॉफ़्टवेयर है; इसे आप मुफ़्त सॉफ़्टवेयर फाउण्डेशन द्वारा प्रकाशित ग्नू जनरल पब्लिक लाइसेंस के तहत वितरित कर सकते हैं या परिवर्धित कर सकते हैं; लाइसेंस के% d संस्करण या इसके (अपने विकल्प अनुसार) बाद के संस्करण के तहत. ,"% s is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version% d of the License, or (at your option) any later version."
विन्यास विकल्पः,Configure Options:
कृपया एंटर a URL,Please enter a URL
जोड़ें स्निपेट,Add snippet
एक md5 फाइल खोलें,Open an MD5 file
Diff…,Diff…
कर्ता जिसें खींचा जा रहा है,The actor that is being dragged
इंतजार करें जबतक पूर्ण. ,There are unfinished jobs: please wait until they are finished.
से. पैकेज है नहीं अधिष्ठापित करें. ,"The ""% s"" package is not installed. Please install it."
बंद करें अन्य दस्तावेज़,Do not show open documents
रूकें लागू कर रहा है और लौटाएँ ट्री को state,Stop applying the patch series and return the tree to its previous state
लॉग संदेशः,Log message:
Y न्यूनतमः,Y minimum:
लिखने के दौरान त्रुटि. ,Error while burning.
कनेक्ट को a रिमोट लक्ष्य,Connect to a remote debugging target
कोई योजना नहीं,No schema
दृश्य _ (V) ,_ View
कोण आरंभ,Angle Begin
पसंदीदा संदेश... ,Custom message...
[Pp] assword. *: ,[Pp] assword. *:
सूचना संपादित करें (_ E)... ,_ Edit Information…
कृपया टिप्पणी नहीं ठीक मिटाएं फ़ाइल से और से सीवीएस फ़ाइल से सीवीएस पहले सीवीएस कमिट आप,"Please note: Pressing OK will delete the file from disk and from CVS. Of course, the file won 't be removed from CVS before you use CVS Commit. You have been warned!"
ऊपर से नीचे,Top to Bottom
प्लगइन्स,Plugins
ऑप्टीमाइज़्ड,Optimized
लाल पान का इक्का,the ace of hearts
खेलें “% s”,Play “% s”
त्रुटि को a समूह! ,Error: The snippet must belong to a group!
अपडेट (अद्यतन) ,Update all
प्रोग्राम का नाम,Program terminated
क्या कर्ता रंगा जाएगा,Whether the actor will be painted
ठीक करना,Debug
शाखा उपकरण,Branch tools
चुनें फ़ाइल को कमिटः,Select Files to Commit:
कृपया एंटर a नाम. ,Please enter a branch name.
ब्रैसेरो प्लगिन,Brasero Plugins
मानक भिन्नता,Standard diff
तिर्यक,Diagonal
चुनें स्निपेट समूह को यह. ,Select the Snippets Group to which this snippet belongs.
ARB खंडित प्रोग्राम्स के उपयोग हेतु निष्क्रिय करें,Disable use of ARB fragment programs
स्थानीय रोस्टर में जोड़ें,Add to local roster
में खोजेंः,Search in:
Blu-ray डिस्क,Blu - ray disc
प्रोजेक्ट लोड करने में असमर्थ,Failed to refresh project:% s
मूलभूत जीयूआई अनुप्रयोग पहुंचनीयता का परीक्षण करता है,Tests fundamental GUI application accessibility
नया वीडियो परियोजना (_ V) ,New _ Video Project
किक प्रारंभ,Kick start _ tutorial
y अक्ष के ओर दीर्घवृत्त का झुकाव,Tilt of the ellipse around y axis
ताश बांटना बाकीः ~ a,Redeals left: ~ a
उच्चतम विभेदन,Height resolution
अंतराल,Interval
सबवर्सन फ़ाइल. ,Subversion: File retrieved.
प्रोजेक्ट नाम,project name
पहले से चलते उदाहरण में कनेक्ट मत करें,Don 't connect to an already - running instance
सत्रें,Use revision:
% s आँकड़ा% s में,Data% s in% s
मौजूदा परियोजना सहेजें,Save current project
प्रयोग के लिए अतिरिक्त प्लगइन की श्वेत सूची,White list of additional plugins to use
निर्देशिका का उपयोग जहाँ अस्थायी फाइल जमा करना है,Directory to use for temporary files
लाल पान का दहला,the ten of hearts
अंत,End
बायीँ डीलः ~ a,Deals left: ~ a
% s खाली% s में,Blank% s in% s
चालू बर्निंग प्रक्रिया,Ongoing burning process
क्षेत्र से. रखता है अक्षर या अनुसरण कर रहा है अक्षर अन्दर a डैश कृपया. ,"Field ""% s"" must contains only ASCII printable characters, no accentuated characters by example. Please fix it."
चिड़ी का दहला,Remove the ten of clubs.
दीर्घवृत्त की ऊँचाई,Height of ellipse
पुनःआरंभ करें (_ R) ,_ Restart
कोई आनेवाली ध्वनि नहीं बजायी जाएगी. ,No incoming sound will be played.
सारणी पंक्ति शीर्षिका,table row header
का प्रोग्राम,Pauses the execution of the program
ई-मेल पता,Email Address
WIDTHxHEIGHT + XOFF + YOFF,WIDTHxHEIGHT + XOFF + YOFF
स्रोत गुण,Source properties
अंजुता के लिए टर्मिनल प्लगिन,Terminal Plugin for Anjuta.
कृपया एंटर a. ,Please enter a destination path.
~ a को एक हुकुम का बादशाह पर ले जाएँ,Move ~ a onto the king of spades.
परिवहन त्रुटि,Transport error
Copyright (c) Naba Kumar,Copyright (c) Naba Kumar
कर्सर रंग,Cursor Color
पृष्ठ आवरण,BACK COVER
जैंगो परियोजना सूचना,Django Project information
पढ़ने में त्रुटि... छोड़ रहे,Error on read; aborting.
फाइल अखंडता जाँच सफलतापूर्वक की जा सकी. ,The file integrity check was performed successfully.
पूरा प्रोजेक्ट साफ करें,Check whole project
कर्ता को खींचने के लिये प्रयुक्त अन्तर्निहित Cogl बनावट को संभालें,The underlying Cogl texture handle used to draw this actor
समूहः% s,Group:% s
स्थान नहीं,Location reached
स्वतःपूर्णPurge items after% d days,Auto - purge completed items
C + +/Java Assistance,C + + / Java Assistance
वस्तु,GLib. Object
दूरस्थ प्रयोक्ता व्यस्त है,Remote user is busy
के बारे में (_ A) ,_ About
रिडील पर बेतरतीब रूप से रखा गैप्स,Randomly Placed Gaps on Redeal
चयनित ट्रैक विभाजित करें,Split the selected track
घर के दश्य पर जाएं,Show the log of a file / directory
मिटाएँ चयनित,Delete the selected stash
मेलबाक्स नोटबुक टेब्स के दिखाए जाने को टागल करें,Toggle display of mailbox notebook tabs
सबवर्सन बदलें पूर्ण. ,Subversion: Switch complete.
प्रकटन विकल्प/b> ,Appearance Options
ऑडियो कोडेक सूची,The Audio Codecs List
नाम बदलें (_ e) ,R _ ename…
एक अट्ठा को आप ढूंढ रहे हैं. ,You are searching for an eight.
जेनेरिक Xlib डाक एप्लेट,A generic Xlib dock applet
चयन योग्य,Selectable
उपकरण-पट्टी छुपाएँ या दिखाएँ,Show or hide the toolbar
"""% s"" को फ़ाइल तंत्र से हटा दिया गया था. ","""% s"" was removed from the file system."
को,To
बिंदु धुरी,Pivot Point
प्लगिन चुनें,Select an Image File
घुमाव केंद्र X,Rotation Center X
साफ के साथ फ़ाइल,Check module associated with current file
स्रोत निर्देशिकाएँ,Source Directories
लिथानियान,_ Lithuanian
कमांड में अवैध क्षेत्र,Invalid field in command
आकार,Size
विडियो दृश्य पूर्णस्क्रीन में जाने से पहले (video _ view के समान मान) ,The video view before having switched to fullscreen (same values as video _ view)
स्लाइस करने की विधि,Slicing Method
कई कापी लिखें (_ B) ,Burn _ Several Copies
फ़ाइल या निर्देशिका को अंतर रखने के लिए चुनेंः,Choose file or directory to diff:
भराई के रंग को हाइलाइट करें,Highlight fill color
"फाइल ""% s"" नहीं खोली जा सकी (% s) ","File ""% s"" could not be opened (% s)"
संपादक टैब,Editor tabs
स्वचालित उत्तर,Automatic answer
"""% s"":% s","""% s"":% s"
मोड्यूल,Module
क्या आप '% s' से सत्र आयात करना चाहते हैं? ,"Do you want to import the session from ""% s""?"
अनुप्रयोग,application
छवि,image
स्तंभ,Col
किनारा रंग,Border Color
आँकड़ा सीडी सफलतापूर्वक लिखा गया,Data CD successfully burned
नया परियोजना सहायक,New Project Assistant
पहुँच योग्य सारणी स्तंभ शीर्षिका,Accessible Table Column Header
लेखन रोधी (burn _ proof) प्रयोग करें (विफलता का जोखिम कम करें) ,Use burn _ proof (decrease the risk of failures)
विजेट्स,Widgets
CVS: Update file/directory,CVS: Update file / directory
परियोजना प्रबंधक,Project Manager
मुख्य विंडो की Y स्थिति. ,The Y position of the main window.
कृपया सर्वर URI दें,Please provide a Server URI
गनोम टर्मिनल प्रोफाइल का उपयोग करेंः,Use GNOME Terminal profile:
क़िस्म,Type
टॉगल एट स्थान,Toggle breakpoint at the current location
प्रसंग फाइल नाम,Theme file name
आपको इस ड्राइव को प्रयोग के लिए जरूरी अनुमति नहीं है,You do not have the required permissions to use this drive
कृपया डिस्क को किसी रिकार्ड करने योग्य डिस्क के साथ घुसाएँ. ,Please insert a writable CD.
इन्टरनेट,Interrupt
वर्ण,Hue
स्निपेट चर,Snippet Variables
सभी आवृत्ति आलोकित करें,Highlight all occurrences
without expensive glossy coating,FOGRA30L Uncoated Yellowish
"""-immed"" फ्लैग को cdrecord के साथ सक्रिय करें","Enable the ""- immed"" flag with cdrecord"
कृपया a प्लगइन को खोलें से.. ,Please select a plugin to open% s.
ब्रैसेरो से बाहर जाएँ,Quit Brasero
दस्तावेज़,Documents
पत्र डालने का सन्दूक% s बल्सा द्वारा उपयोग किया जा रहा है मैं हटाने में असमर्थ हूँ अगर आप इसे हटाना ही चाहते हैं तो इसके फंक्शन को असाइन करें किसी दूसरे पत्र डालने के सन्दूक को,"Mailbox ""% s"" is used by Balsa and I cannot remove it. If you really want to remove it, assign its function to some other mailbox."
अंजूटा दस्तावेज मैनेजर,Document Manager
डिस्क प्रयोग विश्लेषण,Disk Usage Analyzer
बदलेंto pop up a dialog,Replace selection
% s आँकड़ा% s में,Data% s in% s
डीवीडी लिख रहा है,Burning CD
बीच में,Center
साइरिलिक,Cyrillic
क्या मुख्य स्टेज पूर्ण स्क्रीन है,Whether the main stage is fullscreen
क्या आप वाकई ट्रैक को बांटना चाहते हैं? ,Do you really want to split the track?
बतौर एम3यू प्लेलिस्ट परियोजना सहेजें,Save project as an M3U playlist
दिखाएँ लकीर,Show line numbers
मेक चयन लोअरकेस,Make Selection Lowercase
सबवर्सन डिफ पूर्ण. ,Subversion: Diff complete.
कनेक्ट करने में त्रुटि,error connecting
कृपया एंटर a URL. ,Please enter a URL.
टर्मिनल विकल्प,Terminal options
प्रोग्रामः,Program:
दिखाएँ दायाँ,Show right margin
विंडो X,Window X
मौजूदा संदेश पट्टी,Existing message pane
स्निपेट गुण,Snippet Properties
प्रकार बेमेल,Type mismatch
ट्रैक बांटा नहीं गया था. ,The track wasn 't split.
जारी रखें a के साथ परस्पर विरोध,Continue a rebase with resolved conflicts
Re: उत्तर,Re:
"किसी को कॉल करने के दौरा चुनी गयी आवाज बजायी जाती है, अगर सक्रिय किया जाता है","The chosen sound will be played when calling somebody, if enabled"
न्यूनतम स्तंभ सेट,Minimum Column Width
सूचना लाइनों को लपेटें,Encrypt message using GPG
डिस्क की नक़ल लें (_ c) ,Disc _ copy
वरीयताएँ (_ r) ,P _ references
त्रुटि से. ,Error closing project:% s
संग्रह,Col _ lection
सभी खण्डन बिन्दु अक्षम करें,Disable All Breakpoints
बेगम मिटाएँ,Remove the queens
hotkey संयोजन,Hotkey combination
पुनः लोड करें (_ R) ,_ Reload
लिखने के लिए तैयारी कर रहा है,Preparing to write
प्रोग्राम है कार्यशील को रोकें? ,The program is running. Do you still want to stop the debugger?
बदलें अंत पंक्ति अक्षर को EOL,Convert End Of Line characters to Unix EOL (LF)
खाली,_ Clean (% s)
सीवीएस: फ़ाइल/निर्देशिका जोड़ें,CVS: Add file / directory
स्वतःपूर्ण,Autocomplete
प्रारंभ,Start
STUN समर्थन के लिए STUN सर्वर. STUN एक प्रौद्योगिकी है जो कि NAT गेटवे के कुछ प्रकार से रास्ता देता है,The STUN server to use for STUN Support. STUN is a technology that permits passage through some types of NAT gateway
डिफाल्ट बनाएं,Default
पास गिनती,Pass count
परियोजना में फ़ाइल जोड़ें,Add files to the project
कर्ता की चौड़ाई,Width of the actor
श्रेणी,Category
कोण x झुकाव,Angle x tilt
सभी आवश्यक अनुप्रयोगों और लायब्रेरीज़ संस्थापित नहीं हैं. ,All required applications and libraries are not installed.
परियोजना नामः,_ Group name:
स्थिर हिस्से की संख्या में ट्रैक बांटें,Split track in a fixed number of parts
बतौर ऑडियो परियोजना निर्दिष्ट गीतसूची खोलें,Open the specified playlist as an audio project
आरंभिक अपारदर्शिता स्तर,Initial opacity level
लिखें (_ B) ,_ Burn…
DTMF भेज रहा है,DTMF sending
कोई लाइसेंस नहीं,No License
लोडिंग... ,Change _ All
वीडियो पूर्वावलोकन,Video preview
तस्वीर लें (_ T) ,_ Take a photo
बदलाव त्यागें (_ D) ,_ Discard changes
फ़ॉन्ट-चयनक,fontchooser
चुनें के लिए को यह. ,Select the languages for which you want to use this snippet.
कैमरा के रूप में उपयोग करने के लिए युक्ति,Device to use as a camera
स्थिति,Stash
Anjuta फाइल सहायक प्लगिन,Anjuta File Assistant Plugin
संशोधनः,Revision:
न्यूनतम स्तंभ सेट,Minimum Column Width
रिकार्डिंग विकल्प विन्यस्त करें,Configure recording options
प्रकटन विकल्प/b> ,Appearance Options
बिंदु धुरी के Z घटक,Z component of the pivot point
तय निष्क्रिय करें,Disable fixed
कमिट कोः,Commit to cherry pick:
रपट के बाद शामिल फ़ाइल मिटाएँ,Delete the included file after reporting
कोई संकेत उपलब्ध नहीं है,No hint available.
पहुँच योग्य वर्णन,Accessible Description
~ a को एक लाल पान का गुलाम पर ले जाएँ,Move ~ a onto the jack of hearts.
इस निर्देशिका की संतति के पास 7 जनक निर्देशिका रहेगी. ब्रैसेरो ऐसी फ़ाइल पदक्रम की एक छवि बनाएगी और इसे लिखेगी लेकिन डिस्क सभी ऑपरेटिंग तंत्र पर पठनीय नहीं होगी. नोटः ऐसा फाइल पदक्रम लिनक्स पर काम करने वाला माना जाता है. ,The children of this directory will have 7 parent directories. Brasero can create an image of such a file hierarchy and burn it but the disc may not be readable on all operating systems. Note: Such a file hierarchy is known to work on Linux.
प्रोजेक्ट इंपोर्ट सहायक,Project Import Assistant
जोड़ें स्रोत,Add Source
"DTMF के भेजने के लिए विधि चुनें. मान हो सकता है 0 (""String"" के लिए), 1 (""Tone"" के लिए), 2 (""RFC2833"" के लिए), or 3 (""Q. 931"" के लिए) (तयशुदा है ""String""). ""String"" के बजाय अन्य मान चुनना टेक्स्ट चैट को निष्क्रिय करता है. ","Select the mode for sending DTMFs. The values can be 0 (for ""String""), 1 (for ""Tone""), 2 (for ""RFC2833""), or 3 (for ""Q. 931"") (default is ""String""). Choosing other values than ""String"" disables the Text Chat."
