hindi,english
अंजुता प्लगिन,Anjuta Plugin
असीमित पुनः सौदों,Unlimited redeals
खेल (_ G) ,_ Game
हाइलाइट बक्से का भराई रंग,The fill color of the highlight box
लाल पान का छक्का,six of hearts
लाल पान का बादशाह हटाएँ. ,Remove the eight of hearts.
स्रोत,Source
एस्लेरियॉट,AisleRiot
ताश को उलटे खिसका कर देखें,Try moving a card to the reserve
प्रोग्राम चलाएँ,Kill program
नमूना क्रिया,Tag _ Implementation
पहला नियम,First Law
जेम्सटाउन,Jamestown
वर्तमान विन्यास अति प्राकृतिक रूप से ताश के रंग के योग्य हो इस हेतु ध्येय कीजिए. ,Aim to place the suits in the order which fits the current layout most naturally.
चयन (_ S) ,_ Selection
खास,Signals
शॉर्टकटः,Shortcut:
Generic gcj compiled java,Generic gcj compiled java
वर्ग इंहेरीटेंस,Class Inheritance
श्रीमान् टॉमी,Sir Tommy
संशोधनः,Revision:
सभी ढेर भरने लायक पत्ते होते तक पहले जैसा करें,Undo until there are enough cards to fill all tableau piles
स्वयं,Self
प्रलेख,_ Document
चिड़ी का बादशाह,the king of clubs
लाल पान का पंजा,the five of hearts
किसी वस्तु को खाली तस्वीर खाँचे में ले जाएँ,Move something onto an empty tableau slot.
अगला संदेश,Next message
नया खेल,New Game
टैग सूची विन्डो प्रदर्शित करे,Show in main window
CVS प्लगिन,CVS Plugin
मत रिपोर्ट करें (_ D) ,_ Don 't report
प्रत्येक पंक्ति क प्रिंट करें,Add line number every:
लाल जोकर,the red joker
आधार पर एक पत्ता ले जाएँ,Move ~ a onto the foundation.
स्वचालित हाशिया,Indent:
नया मेनू (_ N) ,_ New Menu
वर्णनः,Description:
Qcard symbol,Q
पंक्ति ~ a में श्रृंखला में जोड़ें. ,Add to the sequence in row ~ a.
काटें (_ u) ,C _ ut
सीहैवन,Seahaven
नाम,Name:
मैक्रो प्लगिन,Macro Plugin
प्लग-इन जिसमें हैं एक्सेसेबेलों को तेजी से चुनने के लिए कई विधियां,Plugin with various methods of selecting accessibles quickly.
सोर्स जोड़ें,Add _ Source File
~ a को पट्ट से बाहर ले जाएँ,Move ~ a off the board
रिफ्रेश,_ Refresh
हुकुम का अट्ठा,eight of spades
बहुल स्कोरिंग,Multiplier Scoring
बचा मालः 0,Stock left: 0
~ a को एक लाल पान का दहला पर ले जाएँ,Move ~ a onto the ten of hearts.
भिन्न प्रकार खेल खेलें,Play a different game
गुणधर्म,Attributes
डायरेक्टरी का निर्माण करें,Choose directories
~ a को ईंट का गुलाम पर घुमाएँ. ,Move ~ a onto the jack of diamonds.
फाइल चयन करें,Delete Theme
जेनेरिक,Generic
~ a कोचिड़ी का चौवा पर घुमाएँ. ,Move ~ a onto the four of clubs.
चार मूलाधार,Four Foundations
संदेश,Log Message:
% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते,% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
ईंट का दहला,the ten of diamonds
~ a को एक ईंट का पंजा पर ले जाएँ,Move ~ a onto the five of diamonds.
एक खाली फाउण्डेशन जगह,an empty foundation place
घटनाओं को मानिटर करें (_ M) ,_ Monitor Events
घटक,Co _ mponent
आंट मेरी,Aunt Mary
प्रोफाइल प्लगिन,Profile Plugins
/ बुकमार्क संशोधन,_ First Bookmark
एकार्डियन,Accordion
"% s में% s स्थिति है, पर उसके साथ% s स्थिति नहीं है",% s has% s state without% s state
चिड़ी का गुलाम,jack of clubs
इंटरफेसः,Interface:
कर्नल,Kernel signals
ईंट का दुक्का,two of diamonds
अपडेट (अद्यतन) ,Update
सबवर्सन,Subversion
भूलभुलैया,Labyrinth
ब्रेकपाइंट को समायोजित करें,Remove a breakpoint
~ a को एक लाल पान का चव्वा पर ले जाएँ,Move ~ a onto the four of hearts.
ईंट का दहला हटाएँ. ,Remove the ace of diamonds.
"जब आप सड़क पार करें, तो दोनों तरफ देखें",Look both ways before you cross the street
लाल पान का बादशाह,king of hearts
स्थितिः,Position type
एक्सेर्साइसर,Accerciser
संग्रह,Col _ lection
न्यासslot type,foundation
प्रक्रिया बाहर. ,Process exited.
स्वचालित,Automatic
शॉर्टकटः,Shortcut:
संशोधनः,Use revision / tag:
सभी चुनें,Select All
राज्य,States
पासवर्डः,Password:
कमांड,Command
टारबाल बिल्ड करें (_ T) ,Build _ Tarball
बचा मालः,Stock left:
पिता विडगेट,Pressing tab inserts indentation
चेतावनीः,warning:
"फोकस योग्य% s में सारणी अंतराफलक है, लेकिन कोई चयनीय अंतराफलक नहीं हैbutton has focused state without focusable state","focusable% s has a table interface, but not a selection interface"
एक% s को आप ढूंढ रहे हैं. ,You are searching for a six.
सॉफ्ट,Soft
चिड़ी का बादशाह हटाएँ. ,Remove the jack of clubs.
मुख्य वर्गः,Main Class:
2number,2
मेकफाइल आधारित परियोजना,Makefile - based project
चिड़ी की बेगम,queen of clubs
छैतिज पैमाना,Build Autotools
अज्ञात पत्ता,face - down card
नमूना क्रिया,Implementation
आरक्षितslot type,reserve
अंगूठा और पॉकेट,Thumb And Pouch
प्रोजेक्ट विन्यस्त करें,Configure Project
फाइल चयन करें,Shell Script File
खाली खाँचा पर कुछ रखें,Place something on empty slot
सॉलिटेयर,Solitaire
भूमिका,Role
प्रोजेक्ट लोड करने में असमर्थ,Failed to refresh project:% s
चिड़ी का अट्ठा,the eight of clubs
परियोजना विकल्प,Project root URI
आपरेशन चलाएँ,Run operations
संपादन,Edit
चिड़ी की छक्का के बगल में चिड़ी के पंजा को रखें. ,Place the six of clubs next to the five of clubs.
पूरे दस्तावेज का चयन करें,Select the current code block
हुकुम का दहला,the ten of spades
एक खाली तस्वीर,an empty tableau
उचित संस्थापन ढेर,the appropriate Foundation pile
ईंट का चव्वा,the four of diamonds
छैतिज पैमाना,Thread operations
Specify File List,All Project Files
सभी,Everything
हुकुम का गुलाम,jack of spades
एक अट्ठा को आप ढूंढ रहे हैं. ,You are searching for an eight.
फ़ाइल सहेजा जा रहा है... ,Saving file...
एटी-एसपीआई सत्यापक,AT - SPI Validator
WIDTHxHEIGHT + XOFF + YOFF,WIDTHxHEIGHT + XOFF + YOFF
Anjuta वरीयता,To - do List Preferences
हाइलाइट बक्से का सीमांत रंग,The border color of the highlight box
माॅड्यूल फाइल नाम,Module name:
लाॅगिन,_ Log
डेस्कटोप,Des _ ktop
पिछली चाल पूर्ववत करें,Redo the undone move
सभी,Everything
सभी मिटाएँ,Remove all
सभी चुनें (_ A) ,Select _ All
नीचे के पैनल के लिए लेआउट,The layout for the bottom panel
सांख्यिकी% Id% d,Statistics
#-#-#-#-#gnome-desktop. HEAD. hi. po (gnome-desktop VERSION) #-#-#-#-#टिप्पणी: #-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#टिप्पणीः,All Comments
खेल चुनें... (_ S) ,_ Select Game…
निर्देशिका बिल्ड करेंः,Build Directory:
ईंट का दहला हटाएँ. ,Remove the five of diamonds.
घटक,Co _ mponent
घटना रोजनामचा मिटाओ,Clear event log
स्वचालित हाशिया,Auto Indent
प्रोजेक्ट साफ करें (_ C) ,_ Clean Project
~ a को एक खाली आधार में ले जाएँ. ,Move ~ a onto an empty foundation slot.
एक्सेर्साइसर,Accerciser
हाइलाइट अवधिः,Highlight duration:
क्वातोर्जे,Quatorze
जाल स्थल,Web site
के साथ खोलेंः,Open with:
गुणधर्म,Property
चिड़ी की छक्का के बगल में चिड़ी के पंजा को रखें. ,Place the six of clubs next to the five of clubs.
तेरह,Thirteen
चिड़ी का चौवा,four of clubs
एलीवेटर,Elevator
इस विंडो को बन्द करें,Close this window
कुत्ते के कान में कभी सीटी नहीं बजाएँ,Never blow in a dog 's ear
चिड़ी की चौवा के बगल में चिड़ी के तिक्की को रखें. ,Place the four of clubs next to the three of clubs.
अपवाद,EXCEPT
हुकुम की दहला के बगल में हुकुम के नहला को रखें. ,Place the ten of spades next to the nine of spades.
साराटोगा,Saratoga
पुस्तक चिह्न संपादित करें (_ E)... ,_ Edit Bookmarks...
डेवलेपर को इस बग को रिपोर्ट करें. ,Please report this bug to the developers.
और ताश बांटें,Deal more cards
मछली पकड़ने के तांत से अपने दांत साफ मत करिए,Fishing wire makes bad dental floss
रिसेट करें (_ R) ,_ Reset tree…
चिड़ी का दहला,ten of clubs
इतिहास क्रमांक,History sizes
पाठ (_ x) ,Te _ xt
प्रथम आधार ढेर हेतु अतिरिक्त में से एक ताश का पत्ता चुनें,Select a card from the reserve for first foundation pile
कोई संकेत अभी उपलब्ध नहीं है,No hint available right now
ओडेसा एक बढ़िया खेल है. सच में. ,Odessa is a better game. Really.
जीताः,Wins:
शब्दकोष,Binary
हुकुम का नहला,nine of spades
अंजूटा दस्तावेज मैनेजर,Plugin Manager
स्थान-विशिष्टः,Locale:
कुत्ते के कान में कभी सीटी नहीं बजाएँ,Never blow in a dog 's ear
% (rolename) s अभिभावक सूची% (num1) d पंक्ति और स्तंभ सूची% (num2) d से मेल नहीं खाते,% (rolename) s parent index% (num1) d does not match row and column index% (num2) d
ढूंढें (_ F)... ,_ Find Symbol...
सोल,Sol
सत्र,New association
लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... ,I could sure use a backrub right about now...
झांकें,Peek
आधार से पत्तों को नीचे की ले जाने की कोशिश करें,Try moving cards down from the foundation
छोड़ रहा हैः% s,Leaving:% s
जेब्राcard symbol,Zebra
केमेलॉट,Camelot
अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती,% s index in parent does not match child index
दिखाएँ,Show
चिड़ी की तिक्की,three of clubs
मोड्यूल,Java Module
मदद (_ H) ,_ Help
पत्तों को फिर फेंटें,Reshuffle cards
4number,4
कुछ न करें (h) ,Do not show tabs
चल रहा है... ,Running…
विकल्प,HTML export options:
#-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#Y #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#y #-#-#-#-#libgnomecanvas. HEAD. hi. po (PACKAGE VERSION) #-#-#-#-#Y,% Y
खोज का तरीका,Search Target
अनियत चौड़ाई,Select Target to Profile
पुस्तक चिह्नों को संपादित करें... ,Edit Bookmarks...
संस्थापित प्लगिन,Installed plugins
प्रोग्राम,Program
पुस्तक-चिह्नों को प्रबंधित करें। ,Manage bookmarks.
उपकरण-पट्टी दिखाएँ या नहीं,Whether or not to show the toolbar
हैडर (शीर्षक) क्लिक किए जाने योग्य,* Output Header File:
एक खाली खाँचा,an empty slot
स्तंभ,Column
टर्मिनल,Terminal
कोई चाल बाकी नहीं,There are no more moves
जीता,Wins
मिलाएं,Merge
ठहरें (_ P) ,_ Pause
स्पाइडर तीन डेक,Spider Three Decks
अक्षम,Disabled
ईंट का दहला हटाएँ. ,Remove the ten of diamonds.
चिड़ी का गुलाम,the jack of clubs
एकल प्लग-इन दृश्य,_ Single plugins view
प्रतिशतः,Percentage:
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ,translator - credits
बेकर्स दर्जन,Bakers Dozen
चिड़ी की तिक्की,the three of clubs
चिड़ी का नहला,nine of clubs
अनुप्रयोग की पहुंचनीयता का सत्यापन करता है,Validates application accessibility
अंजूटा वरीयता,Anjuta Preferences
से,From
अंतराफलक दर्शक,Interface Viewer
बिल्ड% d:% s,Build% d:% s
#-#-#-#-#eel. HEAD. hi. po (eel VERSION) #-#-#-#-#पंक्ति व्रेप #-#-#-#-#gtk +. gtk-2-2. hi. po (gtk22 VERSION) #-#-#-#-#लाइन व्रैप,Line _ Wrapping
बचा मालः,Stock left:
पुस्तक-चिह्नों को प्रबंधित करें। ,Manage bookmarks.
पिछली चाल पूर्ववत करें,Undo the last move
उपकरण-पट्टी छुपाएँ या दिखाएँ,Show or hide statusbar
खेल (_ G) ,_ Game
चौदह,Fourteen
पंजी ताजा करें (_ R) ,_ Refresh Registry
पुस्तक चिह्न संपादित करें (_ E)... ,_ Edit Bookmarks...
उचित संस्थापन ढेर,the appropriate Foundation pile
लाल पान की पंजा के बगल में लाल पान के चव्वा को रखें. ,Place the five of hearts next to the four of hearts.
पिछली क्रिया रद्द करें,Redo the last action
दृश्य,View
छवि (_ I) ,_ Image
~ a को एक खाली आधार में ले जाएँ,Move ~ a to an empty foundation
लाल पान का अट्ठा,the eight of hearts
हुकुम की पंजा के बगल में हुकुम के चव्वा को रखें. ,Place the five of spades next to the four of spades.
विजेट्स,Widgets
दक्षिण यूरोपीय,South European
~ a को एक हुकुम की बेगम पर ले जाएँ,Move ~ a onto the queen of spades.
नया बीएसडी लाइसेन्स विवरण के लिए देखिए प्रतिलिपीकरण और सूचना फाइलें,The New BSD License See the COPYING and NOTICE files for details.
चीनी पारम्परिक,Chinese Traditional
"पाठ्य ""% s"" नहीं मिला था","The match ""% s"" was not found. Wrap search around the document?"
बाल्सा सूचना,Basic Information
चलाएँ (_ R) ,_ Run
रोकें,Stop:
हुकुम का दहला,ten of spades
GtkSourceView Editor,GtkSourceView Editor
सफलतापूर्वक फ्लापी को फार्मेट किया,File loaded successfully
स्वयं से,itself
लाल पान का सत्ता,the seven of hearts
पुस्तक चिह्न संपादित करें (_ E)... ,_ Edit Bookmarks...
मिलान,Width
~ a को चिड़ी का बादशाह पर ले जाएँ,Move ~ a onto the king of clubs.
स्टाकslot type,stock
रोकें,Stop
पंक्ति ~ a के सबसे बायें के स्लॉट में दो को रखें. ,Place a two in the leftmost slot of row ~ a.
चल रहा है... ,Running...
वर्तमान विन्यास अति प्राकृतिक रूप से ताश के रंग के योग्य हो इस हेतु ध्येय कीजिए. ,Aim to place the suits in the order which fits the current layout most naturally.
प्रस्तुत स्थिति के आखिरी अंशों को दिखाएँ,Jump to breakpoint location
बाहर,/ _ Quit
उत्तमः,Best:
कार्रवाई संपन्न करें,Perform action
घटना रेकोर्डिंग शुरू करो/रोको,Start / stop event recording
हुकुम की नहला के बगल में हुकुम के अट्ठा को रखें. ,Place the nine of spades next to the eight of spades.
प्रोजेक्ट संस्थापित करें (_ I) ,Install directories:
~ a को एक हुकुम का पंजा पर ले जाएँ,Move ~ a onto the five of spades.
आईडी,ID
लाल पान का अट्ठा,eight of hearts
सारणी (_ T) ,_ Table
बीयर रिवर,Bear River
"जब आप सड़क पार करें, तो दोनों तरफ देखें",Look both ways before you cross the street
सापेक्ष स्थिति,Relative position
लोड किया जा रहा है... ,Loading…
ईंट की बेगम,queen of diamonds
एपीआई विचरक,API Browser
लाल पान का चव्वा,Move ~ a onto the four of hearts.
संपादन... ,Edit...
हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। ,The color and opacity of the highlight border.
सीमांत (बोर्डर) के रंग को हाइलाइट करें,Highlight border color
संदेश,Message colors
हुकुम का बादशाह,king of spades
हाँ,Yes
उत्तमः,Best:
विरोधी,Conflicted
"बधाई, आप जीत गए! ","Congratulations, you have won!"
पसंद (_ P)... ,_ Preferences...
खेल फ़ाइल उपयोग में,The game file to use
समूह,Add _ Group
एक अंतर्क्रियात्मक पाइथन पहुंचनीयता अन्वेषक,An interactive Python accessibility explorer
चयनित,Cut selection
पुष्टि कर रहे हैं,Validating
Kcard symbol,K
उच्च,High
* ,*
चयनित पाठ्य को हटाएं,Delete the style selected in the combo style selector.
दस्तावेज़ यूआरआई को 'Type = Link' डेस्कटॉप प्रविष्टि में पास नहीं कर सका,Can 't pass document URIs to a' Type = Link 'desktop entry
चिड़ी का चौवा,four of clubs
सफलतापूर्वक पूर्ण,Completed unsuccessfully
डिबगर,Debugger:
हीरा खदान,Diamond Mine
चिड़ी का छक्का,the six of clubs
'% s' फाइल में लिखने की त्रुटिः% s,Error saving to suppression file `% s':% s
लोड,Load
प्रोजेक्ट में सोर्स जोड़ें,Add a group to project
गनोम सॉलिटेयर,GNOME Solitaire
दो सूट,Two Suits
ईंट का दुक्का,two of diamonds
सोर्सफोर्ज,Python Source File
हुकुम का अट्ठा,eight of spades
% s मुफ़्त सॉफ़्टवेयर है; इसे आप मुफ़्त सॉफ़्टवेयर फाउण्डेशन द्वारा प्रकाशित ग्नू जनरल पब्लिक लाइसेंस के तहत वितरित कर सकते हैं या परिवर्धित कर सकते हैं; लाइसेंस के% d संस्करण या इसके (अपने विकल्प अनुसार) बाद के संस्करण के तहत. ,"% s is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version% d of the License, or (at your option) any later version."
एक्सेर्साइसर,Accerciser
ईंट की तिक्की,the three of diamonds
अगली चाल हेतु संकेत प्राप्त करें,Get a hint for your next move
हुकुम का बादशाह हटाएँ. ,Remove the nine of spades.
हाशिया पैरामीटर,Indentation parameters
चुनी गई आसंधियों (नोड) के शिशुओं को ताजा करें,Refresh selected node 's children
पिछला हिस्सा,_ Previous Bookmark
अतिरिक्त में से एक ताश के पत्ते को खाली खाँचा पर ले जाएँ,Move a card from the reserve on to the empty tableau slot
दरी,Carpet
मेक्रो जोड़ें (_ A)... ,_ Add Macro...
~ a को एक हुकुम का दुक्का पर ले जाएँ,Move ~ a onto the two of spades.
आइकन फाइलः,Icons only
दृश्य,View
उपकरण-पट्टी छुपाएँ या दिखाएँ,Show or hide the toolbar
मौजूदा बफर,Current buffer
आधार ढेर,the foundation pile
वर्ग जनक,Class Generator
हुकुम का अट्ठा,the eight of spades
ग्लेड फाइल,Glade File
डिफ़ॉल्ट,Default
लाल पान का छक्का,six of hearts
कुछ नहीं,None
लाल पान का छक्का,the six of hearts
सत्ता मिटाएँ,Remove the sevens
ताश थीमः,Card themes:
उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default.
प्रोजेक्ट खोलें,Import Project
सताने वाला किला,Beleaguered Castle
Anjuta के लिए ग्लेड प्लगिन,Glade Plugin for Anjuta.
अज्ञात रंग,Unknown color
झांकें,Peek
मादा मकड़ी,Spiderette
हुकुम का बादशाह हटाएँ. ,Remove the eight of spades.
ईंट का दुक्का,two of diamonds
कई कमांड एक साथ चलाएँः,Run several commands at a time:
"माउस के अधीन जो एक्सेसेबल है, उसे जांचें",Inspect accessible under mouse
क्रियान्वित करें,Executing:
पुस्तक-चिह्नों को प्रबंधित करें। ,Manage bookmarks.
युकान,Yukon
संस्करण नियंत्रण सिस्टम प्लगिन,A version control system plugin
परियोजना नामः,Group name:
ढूंढ रहे हैं... ,Searching...
हुकुम का नहला,the nine of spades
स्थिति पट्टी (_ S) ,_ Statusbar
लाल जोकर,red joker
ईंट का नहला,nine of diamonds
यूनानी,Greek
Git संस्करण नियंत्रण,Git version control
न्यास,the foundation
प्रोफ़ाइल नाम,Profile Name
छपाई,Print
संगतता ही कुंजी है,Consistency is key
लाल पान का सत्ता,seven of hearts
निर्देश चलाएं,Build popup commands
इस खेल के लिये सहायता दिखायें,View help for this game
चिड़ी की दुक्की,two of clubs
#-#-#-#-#libgnomeprintui. gnome-2-2. hi. po (libgnomeprintui) #-#-#-#-#स्थान (_ L): #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#स्थान,_ Location:
ईंट का दहला हटाएँ. ,Remove the seven of diamonds.
दुक्की मिटाएँ,Remove the twos
चिड़ी की सत्ता के बगल में चिड़ी के छक्का को रखें. ,Place the seven of clubs next to the six of clubs.
फिर से ढूंढो,_ Find Usage
संशोधनः,Bad revision:
वुड,Wood
फाइल का नाम ढूंढो,Message Manager
3number,3
Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. ,Aisleriot cannot find the last game you played.
ईंट का दहला हटाएँ. ,Remove the ace of diamonds.
एक्सेर्साइसर पसंद,accerciser Preferences
योजना अपवाद उत्पन्न हुआ,A scheme exception occurred
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) ,translator - credits
“% s” खेल आरंभ नहीं कर सका,Cannot start the game “% s”
हुकुम की बेगम,queen of spades
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#इसी स्ट्रिंग को पुनः खोजें #-#-#-#-#libgnomeui. HEAD. hi. po (libgnomeui HEAD) #-#-#-#-#वही स्ट्रिंग को पुन खोजें,Basic Search & Replace
पता,Address:
स्वचालित,Autoplay
खोलने के लिए कोई लाग फाइल नहीं है,No file to print!
सफलतापूर्वक पूर्ण,Completed successfully
मिले-जुले,Mixed
जाँचने के लिए प्रोग्रामः,Program to test:
काला जोकर,Remove the black joker.
% s आधार परreserveslot hint,% s on foundation
एथेना,Athena
वतनी,Native
जोड़ा,Doublets
संपादित करें,_ Edit
एकल प्लग-इन दृश्य,_ Single plugins view
"यदि आप कभी जंगल में अकेले गुम हो जाएँ, तो किसी पेड़ के आगोश में जाएँ","If you 're ever lost and alone in the woods, hug a tree"
विकल्पों को सन्ग्रहित करे,Debugger operations
सभी मिटाएँ,Remove bookmark
% s झांकी परwasteslot hint,% s on tableau
~ a को एक हुकुम का नहला पर ले जाएँ,Move ~ a onto the nine of spades.
देखें (_ V) ,_ View
अभिभावक में% s सूची शिशु सूची सेमेल नहीं खाती,% s index in parent does not match child index
आप पहले एक खंड को चयन करें,You need to select a to do item before you can edit it
फ़ाइलनाम,Filename
चयनित पाठ्य को हटाएं,Delete the selected text from the editor
अंजूटा,Quit Anjuta Test Shell
एडाप्टिव हाशिया सक्रिय करें,Enable adaptive indentation
5number,5
पंक्ति संख्याएं दिखाएं,Show Line Numbers
पुनःआरंभ करें (_ R) ,_ Restart
मेकफाइल आधारित परियोजना,Makefile backend for project manager
परियोजना बन्द करें,Import project
पसंद जोड़ें... (_ A) ,_ Add Bookmark...
ईंट का दहला,the ten of diamonds
एक प्रोजेक्ट खोलें,_ Run to Cursor
बिल्ड (_ B) ,_ Build
नया दृश्य... ,_ New view...
काला जोकर,Remove the black joker.
~ a को एक हुकुम की बेगम पर ले जाएँ,Move ~ a onto the queen of spades.
मौजूदा बफर,Current
बदलें (_ R) ,_ Replace
गैप,Gaps
मोड्यूल,Lisp Module
चिड़ी का अट्ठा,Move ~ a onto the eight of clubs.
लाल पान का अट्ठा,the eight of hearts
विकल्प,Options
खोलें (_ O) ,_ Open
पंक्ति ~ a के सबसे बायें के स्लॉट में दो को रखें. ,Place a two in the leftmost slot of row ~ a.
अरबी,Arabic
"एक्सेर्साइसर सर्वाधिकार (c) 2006,2007 आईबीएम निगम (बीएसडी) ","accerciser Copyright (c) 2006, 2007 IBM Corporation (BSD)"
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#बदलें/परिवर्तित करें #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#बदलो #-#-#-#-#nautilus. HEAD. hi. po (nautilus 2. x) #-#-#-#-#बदलना,Release
लाल पान का गुलाम,jack of hearts
फेंटें मोड,Shuffle mode
नया प्रोजेक्ट बनाएं,_ End of Block
गोल्फ,Golf
ईंट का छक्का,six of diamonds
अगला कार्ड या कार्ड्स की डील करें,Deal next card or cards
नोर्डिक,Nordic
खोजें,Basic Search
टारबाल बिल्ड करें (_ T) ,Build _ Tarball
वर्तमान में क्रियान्वित हो रहे प्रोग्रामों को दिखाएंः,Attach to a running program
री-लोड,Reload
लाल पान का दहला हटाएँ. ,Remove the ten of hearts.
Anjuta,Anjuta
लीक विभेदनः,Leak resolution:
त्रुटि,ERROR
सारणी (_ T) ,_ Table
~ a को एक चिड़ी की तिक्की पर ले जाएँ,Move ~ a onto the three of clubs.
सभी मिलानों को बदलें,Replace all matches
~ a को एक ईंट का सत्ता पर ले जाएँ,Move ~ a onto the seven of diamonds.
घड़ी,Clock
सत्र के परिवर्तन स्वयं में संग्रहित करें,Commit your changes to the CVS tree
पोकर,Poker
चीनी (सरल) ,Chinese Simplified
स्वतः पूर्ण (_ A) ,_ AutoComplete
उपकरण-पट्टी दिखाएँ या नहीं,Whether or not to show the toolbar
ईंट का अट्ठा,the eight of diamonds
एकार्डियन,Accordion
#-#-#-#-#gedit. gnome-2-2. hi. po (gedit VERSION) #-#-#-#-#कापी #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#प्रतिलिपि #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#प्रतिलिपि,Copy
#-#-#-#-#file-roller. gnome-2-2. hi. po (File Roller hindi) #-#-#-#-#आप्ने आप #-#-#-#-#gtkhtml. HEAD. hi. po (GtkHTML 2. x) #-#-#-#-#आटोमेटिक,Automake Build
ईंट का नहला,Move ~ a onto the nine of diamonds.
स्थान-विशिष्टः,Locale:
अंतिम प्रविष्ट घटना को हाइलाइट करो,Highlight last event entry
लेखक,Author Name:
बिल्ड (_ B) ,_ Build
न्यूनतम मान,Minimum value
... ,...
एक पंजा को आप ढूंढ रहे हैं. ,You are searching for a five.
ब्राउज़... ,Browse...
एस्लेरियॉट के बारे में,About AisleRiot
~ a को लाल पान का अट्ठा पर घुमाएँ. ,Move ~ a onto the eight of hearts.
कोई चाल बाकी नहीं,There are no more moves
त्रुटि,error:
हाल में खेले खेल के नाम,Recently played games
परियोजना नामः,Target _ name:
इसाबेल,Isabel
कार्य,Task
लाल पान की नहला के बगल में लाल पान के अट्ठा को रखें. ,Place the nine of hearts next to the eight of hearts.
टूटते तारे,Falling Stars
डालो,Inspect memory
त्रुटि पर जारी रखें,Continue on errors
फाइल% s नहीं मिली,Could not open file
चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. ,Select whether to drag the cards or to click on the source then the destination.
भराई का रंगः,Fill color:
ताश को उलटे खिसका कर देखें,Try moving a card to the reserve
चिड़ी का दहला हटाएँ. ,Remove the ten of clubs.
नोर्डिक,Nordic
समय,Time
#-#-#-#-#balsa. HEAD. hi. po (Balsa 2. x) #-#-#-#-#दिनांक #-#-#-#-#gnome-utils. gnome-2-2. hi. po (gnome-utils 2.0) #-#-#-#-#तारीख,_ Date
फाइल को बदलने में असमर्थ,Failed to write data to file.
चुनें (_ S) ,_ Select
दरी,Carpet
भेजने के लिए कोई दस्तावेज नहीं,No Gtodo Client to save.
पुस्तक-चिह्न जोड़ें... ,Add Bookmark...
भूलभुलैया,Labyrinth
लॉग देखिए,View Log
ईंट की तिक्की,the three of diamonds
डाक,Mail
मिटाया,Deleted
~ a को हुकुम का दुक्का पर घुमाएँ. ,Move ~ a onto the two of spades.
ईंट का चव्वा,four of diamonds
प्लगइन्स,Plugins
इस खेल के लिये सहायता दिखायें,View help for this game
बचा भंडारः ~ a,Stock remaining: ~ a
क्वातोर्जे,Quatorze
ज़ूम,Zoom
अंजूटा,Anjuta Shell
ऐसे सहेजें... (_ A) ,Save _ As...
एक आईकन चुनें,Menu icon:
परियोजना में जोड़ें,Add to Project
~ a को एक खाली शीर्ष स्लॉट में ले जाएँ. ,Move ~ a onto an empty top slot.
ऑस्मोसिस,Osmosis
स्थान-विशिष्टः,Locale:
आटोमेक बिल्ड,Automake Build
चिड़ी की दुक्की,two of clubs
साराटोगा,Saratoga
आधार पत्ताः जोकर,Base Card: Jack
संदर्भ मदद (_ C) ,_ Context Help
न्यास,the foundation
पंक्तियां,Rows
शब्द को जोड़ें,AutoComplete the current word
अनुप्रयोग,Application
वर्तमान फ़ाइल एक भिन्न नाम से सहेजें,Save the current file with a different name
जीता,Wins
स्थान-विशिष्टः,Locale:
एकल लेआउट दृश्य,Single layout view
डेवलेपर ईमेल पताः,Developer email address:
बार बार पूछे जाने वाले प्रश्न (_ F) ,_ Frequently Asked Questions
प्रोग्राम चलाएं,Run Program
हेक्स #,Hex
अनुप्रयोग,Application
चिड़ी का अट्ठा,eight of clubs
चिड़ी का दहला,Remove the ten of clubs.
सभी,All
