idiom,sentence,matched_span,register,region
लालफ़ीता,कार्यकर्ताओं ने विरोध प्रदर्शन में लालफ़ीता पहनकर अपनी एकता दिखाई।,लालफ़ीता,['informal'],['Khari Boli Hindi']
जागृत हो जाना,"बस जब से पर्यावरण संरक्षण के बारे में जागृत हो गए हैं, हम कूड़ा कम करने लगे हैं।",जागृत हो गए हैं,['formal'],['Khari Boli Hindi']
उल्लू का पट्ठा,मोहित को देखकर लगता है कि कभी-कभी वह उल्लू का पट्ठा बन जाता है।,उल्लू का पट्ठा,"['informal', 'slang', 'derogatory']",['Khari Boli Hindi']
जिस थाली में खाना उसी में छेद करना,"उसने अपने दोस्तों की मदद करने के बाद उन्हें धोखा दिया, जैसे कि जिस थाली में खाना उसी में छेद कर देना।",जिस थाली में खाना उसी में छेद कर देना,"['informal', 'proverbial']",['Khari Boli Hindi']
बाल-बच्चे,बाल-बच्चे के लिए अच्छी शिक्षा जरूरी है।,बाल-बच्चे,['neutral'],['Khari Boli Hindi']
चार दिन की चाँदनी फिर अँधेरी रात,चार दिन की चाँदनी फिर अँधेरी रात की तरह उसकी खुशी कुछ ही दिनों में खत्म हो गई।,चार दिन की चाँदनी फिर अँधेरी रात,['informal'],['Khari Boli Hindi']
निकल जाना,"जब पुलिस आई, तो वह अपराधी फुर्ती से निकल गया।",निकल गया,['informal'],['Khari Boli Hindi']
आम के आम गुठलियों के दाम,"रमेश को नौकरी और साथ में अच्छा वेतन मिल गया, सच में आम के आम गुठलियों के दाम मिले।",आम के आम गुठलियों के दाम,"['informal', 'proverbial']",['Khari Boli Hindi']
लातों के भूत बातों से नहीं मानते,"राकेश ने समझाने की बहुत कोशिश की, लेकिन वे लोग लातों के भूत बातों से नहीं मानते।",लातों के भूत बातों से नहीं मानते,"['informal', 'proverbial', 'derogatory']",['Khari Boli Hindi']
नाक कटना,"अगर तुम सच नहीं बोलोगे तो तुम्हारा नाक कट जाएगा, इसलिए ईमानदारी से जवाब दो।",नाक कट जाएगा,['informal'],['Khari Boli Hindi']
गले लगाना,कभी कट्टर विरोधी रहे नेता अब सार्वजनिक रूप से एक-दूसरे को गले लगा रहे हैं।,गले लगा रहे हैं,"['informal', 'neutral']",['Khari Boli Hindi']
मक्खीचूस,मक्खीचूस लोगों से मदद की उम्मीद नहीं रखनी चाहिए।,मक्खीचूस,"['informal', 'slang', 'pejorative']",['Khari Boli Hindi']
बाल-बच्चे,राम अपने बाल-बच्चे के साथ पार्क में गया।,बाल-बच्चे,['neutral'],['Khari Boli Hindi']
छाती फूलना,जब उसकी कविता को पुरस्कार मिला तो उसकी छाती फूल गई और वह गर्व महसूस करने लगा।,छाती फूल गई,['informal'],['Khari Boli Hindi']
दूध का जला छाछ भी फूँक फूँक कर पीता है,दूध का जला छाछ भी फूँक फूँक कर पीता है कहावत उसके बारे में बिल्कुल सही बैठती है।,दूध का जला छाछ भी फूँक फूँक कर पीता है,"['proverbial', 'informal']",['Khari Boli Hindi']
सीना चौड़ा होना,व्यापार में सफलता मिलने पर उसका सीना चौड़ा हो गया।,सीना चौड़ा हो गया,['informal'],['Khari Boli Hindi']
नेकी और पूछ पूछ,"सीमा बिना कहे ही सबकी मदद करती है, सचमुच नेकी और पूछ पूछ वाली है।",नेकी और पूछ पूछ वाली,['informal'],['Khari Boli Hindi']
फ़न्ने ख़ान,फिल्म इंडस्ट्री में कई लोग फ़न्ने ख़ान की तरह दिखावा करते हैं।,फ़न्ने ख़ान की तरह,"['informal', 'slang', 'pejorative']",['Khari Boli Hindi']
रोशनी,आईना टूटा तो रोशनी भी कम हो गई।,रोशनी,['neutral'],['Khari Boli Hindi']
गूँगे का गुड़ खाना,लड़ाई में हारकर राजू गूँगे का गुड़ खाता रहा और कोई जवाब नहीं दिया।,गूँगे का गुड़ खाता,['informal'],['Khari Boli Hindi']
सरकार का दामाद,सरकार का दामाद बनने के बाद उसके खिलाफ कोई कार्रवाई नहीं हुई।,सरकार का दामाद,"['informal', 'pejorative']",['Khari Boli Hindi']
बात बनना,आखिरकार प्रस्ताव पर सहमति बन गई और बात बन गई।,बात बन गई,"['informal', 'neutral']",['Khari Boli Hindi']
कंगाली में आटा गीला,"जब नौकरी चली गई और घर का खर्चा भी बढ़ गया, तो सच में कंगाली में आटा गीला हो गया।",कंगाली में आटा गीला,"['informal', 'proverbial']",['Khari Boli Hindi']
दो नावों की सवारी,राजनीति में दो नावों की सवारी करना मुश्किल होता है क्योंकि दोनों पक्षों को संतुष्ट करना पड़ता है।,दो नावों की सवारी करना,"['informal', 'proverbial']",['Khari Boli Hindi']
तुक्का,"मैंने तुक्का लगाकर उस दरवाज़े पर दस्तक दी, लेकिन कोई जवाब नहीं मिला।",तुक्का लगाकर,['informal'],['Khari Boli Hindi']
मुँह मीठा करना,वह हमेशा मुँह मीठा करके लोगों का दिल जीतने की कोशिश करता है।,मुँह मीठा करके,['informal'],['Khari Boli Hindi']
उड़ती चिड़िया के पर पहचानना,"मोहिनी ने कहा कि हमें इस मामले की पुष्टि करनी चाहिए, क्योंकि उड़ती चिड़िया के पर पहचानना सही नहीं होगा।",उड़ती चिड़िया के पर पहचानना,"['informal', 'proverbial']",['Khari Boli Hindi']
ईश्वर जाने,"मौसम कब बदलेगा? ईश्वर जाने, ये तो कोई नहीं कह सकता।",ईश्वर जाने,['informal'],['Khari Boli Hindi']
बूढ़ी घोड़ी लाल लगाम,कुछ लोग बूढ़ी घोड़ी लाल लगाम की तरह बूढ़े होने पर भी जवान दिखने की कोशिश करते हैं।,बूढ़ी घोड़ी लाल लगाम की तरह,"['informal', 'derogatory']",['Khari Boli Hindi']
दूध का दूध और पानी का पानी,टीम ने अंत में दूध का दूध और पानी का पानी कर दिया और भ्रष्टाचारियों को उजागर किया।,दूध का दूध और पानी का पानी कर दिया,"['neutral', 'formal']",['Khari Boli Hindi']
सरकार का दामाद,"वह तो सरकार का दामाद निकला, हर काम में उसे विशेष सुविधा मिलती है।",सरकार का दामाद,"['informal', 'pejorative']",['Khari Boli Hindi']
अपनी गली में कुत्ता भी शेर होता है,"राहुल अपनी गली में कुत्ता भी शेर होता है, इसलिए वह वहां बड़ा आदमी है।",अपनी गली में कुत्ता भी शेर होता है,"['informal', 'proverbial']",['Khari Boli Hindi']
काटना,"सरकार ने इस साल शिक्षा के बजट में काफी रकम काट दी है, जिससे स्कूलों को नुकसान हुआ है।",काट दी है,"['neutral', 'formal']",['Khari Boli Hindi']
मगरमच्छ के आँसू,उसके मगरमच्छ के आँसू देखकर मुझे उसका झूठ समझ आ गया।,मगरमच्छ के आँसू,"['informal', 'neutral']",['Khari Boli Hindi']
मन मारना,"मन मारना ठीक नहीं है, हमेशा उम्मीद बनाए रखनी चाहिए।",मन मारना,['informal'],['Khari Boli Hindi']
नया नौ दिन पुराना सौ दिन,कई बार लोग नया नौ दिन पुराना सौ दिन की सोच से जल्द ही निराश हो जाते हैं।,नया नौ दिन पुराना सौ दिन,"['informal', 'proverbial']",['Khari Boli Hindi']
दाल में कुछ काला होना,"पुलिस को शक था कि मामले में दाल में कुछ काला है, इसलिए उन्होंने जांच शुरू की।",दाल में कुछ काला,['informal'],['Khari Boli Hindi']
ख़बर लेना,"नौकरी शुरू होने के बाद भी, वह अपने दोस्तों की ख़बर लेना नहीं भूलता।",ख़बर लेना,"['informal', 'colloquial']","['Khari Boli Hindi', 'Urdu origin']"
चुप रहना,"तुम चुप रहना क्यों चाहते हो, इस मामले में जवाब दो।",चुप रहना,['neutral'],['Khari Boli Hindi']
छत्तीस का आँकड़ा,अगर तुम ऐसे छत्तीस का आँकड़ा बने रहोगे तो किसी से समझौता नहीं होगा।,छत्तीस का आँकड़ा,['informal'],['Khari Boli Hindi']
पल्ले नहीं पड़ना,"मेरे सुझाव देने का पल्ला कुछ भी नहीं पड़ा, कोई भी विचार नहीं लिया।",पल्ला कुछ भी नहीं पड़ा,['informal'],['Khari Boli Hindi']
ईश्वर की माया कहीं धूप कहीं छाया,"जीवन में ईश्वर की माया कहीं धूप कहीं छाया है, इसलिए हमें हर स्थिति के लिए तैयार रहना चाहिए।",ईश्वर की माया कहीं धूप कहीं छाया,"['literary', 'neutral']",['Khari Boli Hindi']
बाल-बाल बचना,"गाड़ी दुर्घटना में वह बाल-बाल बचा, लेकिन गाड़ी पूरी तरह टूट गई।",बाल-बाल बचा,['informal'],['Khari Boli Hindi']
रोज़ी रोटी,गरीबों की रोज़ी रोटी सुनिश्चित करना सरकार की जिम्मेदारी है।,रोज़ी रोटी,['neutral'],['Khari Boli Hindi']
आँख मारना,"बैठक में जब बॉस ने आँख मारी, तो सभी समझ गए कि योजना सफल हो जाएगी।",आँख मारी,['informal'],['Khari Boli Hindi']
मरता क्या न करता,मरता क्या न करता की सोच से वह अपने परिवार का भरण-पोषण करता है।,मरता क्या न करता,"['informal', 'proverbial']",['Khari Boli Hindi']
न रहेगा बाँस न बजेगी बाँसुरी,कंपनी के मालिक के जाने के बाद न रहेगा बाँस न बजेगी बाँसुरी जैसी स्थिति बन गई।,न रहेगा बाँस न बजेगी बाँसुरी,"['informal', 'proverbial']",['Khari Boli Hindi']
आवश्यकता आविष्कार की जननी है,"जब गांव में पानी की कमी हुई, तो लोगों ने नया तरीका खोजा। यह दिखाता है कि आवश्यकता आविष्कार की जननी है।",आवश्यकता आविष्कार की जननी है,"['formal', 'proverbial']",['Khari Boli Hindi']
क्या चल रहा है,"तुम्हारे इस व्यवहार को देखकर क्या चल रहा है, मैं समझ नहीं पा रहा हूँ।",क्या चल रहा है,['informal'],['Khari Boli Hindi']
घोड़े बेचकर सोना,"पार्टी के बाद वह घोड़े बेचकर सो गया, जैसे भविष्य की परवाह ही न हो।",घोड़े बेचकर सो,['informal'],['Khari Boli Hindi']
साथ गाना,सभी कर्मचारी नई परियोजना में साथ गाना चाहते हैं।,साथ गाना,['informal'],['Khari Boli Hindi']
आवश्यकता आविष्कार की जननी है,"अगर तुम्हें कोई समस्या है तो उसका समाधान ढूंढो, क्योंकि आवश्यकता आविष्कार की जननी है।",आवश्यकता आविष्कार की जननी है,"['formal', 'proverbial']",['Khari Boli Hindi']
सितारा,रेस्टोरेंट की सेवा को तीन सितारा माना जाता है।,तीन सितारा,['formal'],['Khari Boli Hindi']
जले पर नमक छिड़कना,"तुम्हारे आलोचनाओं से उसकी तकलीफ बढ़ गई, जैसे जले पर नमक छिड़कना।",जले पर नमक छिड़कना,['informal'],['Khari Boli Hindi']
सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"वह जो खुद दोषी है, दूसरों की निंदा करता है—सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद।",सूप बोले तो बोले छलनी भी बोले जिसमें बहत्तर छेद,"['informal', 'proverbial']",['Khari Boli Hindi']
नया नौ दिन पुराना सौ दिन,नया नौ दिन पुराना सौ दिन कहावत हमें बताती है कि नयी चीज़ें जल्दी फीकी पड़ जाती हैं।,नया नौ दिन पुराना सौ दिन,"['informal', 'proverbial']",['Khari Boli Hindi']
सर हिलाना,माता-पिता ने सुझाव दिया और बच्चे ने सर हिला कर हामी भर दी।,सर हिला कर,"['informal', 'neutral']",['Khari Boli Hindi']
हाथ में होना,"तुम्हारे हाथ में योजना का ड्राफ्ट है, क्या तुम इसे पूरा कर सकते हो? ",हाथ में,['neutral'],['Khari Boli Hindi']
पता चलना,डॉक्टर ने बताया कि बीमारी का पता चलना बहुत जरूरी है।,पता चलना,['neutral'],['Khari Boli Hindi']
सर हिलाना,कभी-कभी सर हिलाने का मतलब असहमति भी होता है।,सर हिलाने,['informal'],['Khari Boli Hindi']
बाल-बाल बचना,बारिश में फिसलने के बाद वह बाल-बाल बच गया।,बाल-बाल बच,['informal'],['Khari Boli Hindi']
पता चलना,मुझे पता चल गया कि वे हमारे खिलाफ साजिश रच रहे हैं।,पता चल गया,['neutral'],['Khari Boli Hindi']
जाग जाना,जब उसे सच का पता चला तो वह पूरी तरह जाग गया और अपनी गलती समझी।,जाग गया,['neutral'],['Khari Boli Hindi']
सिट्टीपिट्टी गुम होना,"चिंता के कारण उसकी सिट्टीपिट्टी गुम हो गई थी, जिससे वह सही निर्णय नहीं ले पाया।",सिट्टीपिट्टी गुम हो गई थी,['informal'],['Khari Boli Hindi']
सीधी उंगली से घी नहीं निकलता,"अर्जुन को समझना होगा कि सीधी उंगली से घी नहीं निकलता, मेहनत और समझदारी से काम लेना होगा।",सीधी उंगली से घी नहीं निकलता,"['informal', 'proverbial']",['Khari Boli Hindi']
मक्खन लगाना,मोहिनी ने अपने सास को मक्खन लगाया ताकि वे उससे खुश हों।,मक्खन लगाया,['informal'],['Khari Boli Hindi']
बात बनना,अगर बात बन जाए तो यह प्रोजेक्ट बहुत लाभकारी होगा।,बात बन जाए,"['informal', 'neutral']",['Khari Boli Hindi']
मन मारना,स्नेहा ने नौकरी न मिलने पर मन मार लिया था।,मन मार लिया,['informal'],['Khari Boli Hindi']
पल्ले नहीं पड़ना,मेरी मेहनत का इस बार पल्ले नहीं पड़ा क्योंकि प्रमोशन किसी और को मिल गया।,पल्ले नहीं पड़ा,['informal'],['Khari Boli Hindi']
खुजली,मेरी खुजली है कि मैं अगले साल विदेश जाकर पढ़ाई करूँ।,खुजली,['informal'],['Khari Boli Hindi']
सितारा,इस होटल को पाँच सितारा रेटिंग मिली है।,पाँच सितारा,['formal'],['Khari Boli Hindi']
लालफ़ीता,सैनिकों ने अपने कपड़ों पर लालफ़ीता लगाई ताकि वे एक-दूसरे को पहचान सकें।,लालफ़ीता,['informal'],['Khari Boli Hindi']
ख़ून का बदला ख़ून,उनका मानना है कि ख़ून का बदला ख़ून लेना ही न्याय है।,ख़ून का बदला ख़ून लेना,['formal'],['Khari Boli Hindi']
रोशनी,शिक्षा ही समाज में रोशनी फैलाने का माध्यम है।,रोशनी,"['neutral', 'literary']","['Khari Boli Hindi', 'Urdu origin']"
तूफ़ान के पहले की शांति,तूफ़ान के पहले की शांति में ही अधिकारियों ने तैयारियां शुरू कर दीं।,तूफ़ान के पहले की शांति,['neutral'],['Khari Boli Hindi']
मुल्ला की दौड़ मस्जिद तक,मुल्ला की दौड़ मस्जिद तक वाली मानसिकता से समाज में भेदभाव बढ़ता है।,मुल्ला की दौड़ मस्जिद तक,"['informal', 'proverbial']","['Khari Boli Hindi', 'Urdu origin']"
निकल जाना,दूसरे रेसर्स को पीछे छोड़कर उसने दौड़ में निकल जाना साबित कर दिया।,निकल जाना,['neutral'],['Khari Boli Hindi']
बहती गंगा में हाथ धोना,"जब बिजनेस अच्छा चल रहा था, तो हमने बहती गंगा में हाथ धोने का फायदा उठाया।",बहती गंगा में हाथ धोने,['informal'],['Khari Boli Hindi']
बाल-बाल बचना,बाल-बाल बचना इस दुर्घटना में एक चमत्कार था।,बाल-बाल बचना,['informal'],['Khari Boli Hindi']
रोशनी,अंधेरे में आशा की रोशनी बनकर वह सामने आया।,रोशनी,"['neutral', 'literary']","['Khari Boli Hindi', 'Urdu origin']"
बूढ़ी घोड़ी लाल लगाम,"बूढ़ी घोड़ी लाल लगाम वाली बात सच है, जब दादी जी ने बहुत चमकीले गहने पहन लिए।",बूढ़ी घोड़ी लाल लगाम वाली,"['informal', 'derogatory']",['Khari Boli Hindi']
आठों पहर,उस दुकान पर आठों पहर ग्राहकों की भीड़ लगी रहती है।,आठों पहर,"['poetic', 'informal']",['Khari Boli Hindi']
नया नौ दिन पुराना सौ दिन,"शुरू में उसका जोश ज़्यादा था, लेकिन नया नौ दिन पुराना सौ दिन की तरह वह जल्दी थक गया।",नया नौ दिन पुराना सौ दिन,"['informal', 'proverbial']",['Khari Boli Hindi']
राम जाने,"मैं नहीं जानता कि क्या होगा, राम जाने।",राम जाने,['informal'],['Khari Boli Hindi']
थककर बैठ जाना,परिषद की आलोचनाओं से छात्र थककर बैठ गया और पढ़ाई छोड़ने लगा।,थककर बैठ गया,['informal'],['Khari Boli Hindi']
सितारा,वह गायक आज का सबसे चमकता हुआ सितारा बन गया है।,सितारा,['neutral'],['Khari Boli Hindi']
चार दिन की चाँदनी फिर अँधेरी रात,"वह चार दिन की चाँदनी फिर अँधेरी रात का उदाहरण था, जो थोड़ी देर चमका और फिर बुझ गया।",चार दिन की चाँदनी फिर अँधेरी रात,['informal'],['Khari Boli Hindi']
हाथ में होना,क्या तुम्हारे हाथ में कंपनी के सारे दस्तावेज़ हैं?,हाथ में,['neutral'],['Khari Boli Hindi']
निकल जाना,चोरी पकड़ने के डर से चोर मौके से निकल गया।,निकल गया,['informal'],['Khari Boli Hindi']
हाँ में हाँ मिलाना,"अजय तो हमेशा बॉस की बातों में हाँ में हाँ मिलाता रहता है, ताकि उसे पसंद किया जाए।",हाँ में हाँ मिलाता,['informal'],['Khari Boli Hindi']
निकल जाना,अगर तुम मेहनत करोगे तो प्रतियोगिता में सबको निकल जाओगे।,निकल जाओगे,['neutral'],['Khari Boli Hindi']
शब्दसागर,इस नए शब्दकोश को शब्दसागर कहा जा रहा है क्योंकि इसमें हजारों शब्द हैं।,शब्दसागर,['formal'],['Khari Boli Hindi']
रोशनी,"उसकी रोशनी कमजोर होने लगी है, डॉक्टर को दिखाना चाहिए।",रोशनी,['neutral'],['Khari Boli Hindi']
जलन,तुम्हारी तारीफ सुनकर उसकी जलन साफ नजर आ रही थी।,जलन,['neutral'],['Khari Boli Hindi']
काटना,कंपनी ने कर्मचारियों की सुविधाओं में कटौती करते हुए वेतन भी काटा।,काटा,"['neutral', 'formal']",['Khari Boli Hindi']
तुग़लक़,"अखिलेश का शासन तुग़लक़ की तरह था, अचानक फैसले बदलना उसकी आदत बन गई।",तुग़लक़,"['informal', 'pejorative']",['Khari Boli Hindi']
नौ दो ग्यारह होना,चोरी पकड़े जाने पर वह नौ दो ग्यारह हो गया और पुलिस से बच निकला।,नौ दो ग्यारह हो गया,['informal'],['Khari Boli Hindi']
जिगर का टुकड़ा,दादा-दादी अपने पोते को जिगर का टुकड़ा मानते हैं।,जिगर का टुकड़ा,"['informal', 'affectionate']",['Khari Boli Hindi']
गले लगाना,दोनों देशों ने विवाद खत्म करके गले लगाना चुना ताकि शांति बनी रहे।,गले लगाना,"['informal', 'neutral']",['Khari Boli Hindi']
मक्खीचूस,अजय इतना मक्खीचूस है कि कभी भी पैसे खर्च नहीं करता।,मक्खीचूस,"['informal', 'slang', 'pejorative']",['Khari Boli Hindi']
मीन-मेख निकालना,"अंकित हर मीटिंग में मीन-मेख निकालता रहता है, कभी काम की बात ही नहीं करता।",मीन-मेख निकालता,['informal'],['Khari Boli Hindi']
बकरे की माँ कब तक ख़ैर मनायेगी,"वह अभी खुश है, पर बकरे की माँ कब तक ख़ैर मनाएगी, इसका ध्यान रखना चाहिए।",बकरे की माँ कब तक ख़ैर मनाएगी,"['informal', 'proverbial']",['Khari Boli Hindi']
जिगर का टुकड़ा,"वह मेरे लिए जिगर का टुकड़ा है, मैं उसके लिए कुछ भी कर सकता हूँ।",जिगर का टुकड़ा,"['informal', 'affectionate']",['Khari Boli Hindi']
मुँह मीठा करना,नयी नौकरी मिलने पर उन्होंने ऑफिस में मुँह मीठा करवाया।,मुँह मीठा करवाया,['informal'],['Khari Boli Hindi']
चेहरा उतरना,जब उसने असफलता का सामना किया तो उसका चेहरा उतर गया।,चेहरा उतर गया,['informal'],['Khari Boli Hindi']
तुक्का,अक्सर तुक्का लगाकर काम करने से सफलता नहीं मिलती।,तुक्का लगाकर,['informal'],['Khari Boli Hindi']
बोया पेड़ बबूल का तो आम कहाँ से होए,अगर मेहनत सही दिशा में नहीं है तो बोया पेड़ बबूल का तो आम कहाँ से होए जैसा ही नतीजा मिलेगा।,बोया पेड़ बबूल का तो आम कहाँ से होए,"['neutral', 'proverbial']",['Khari Boli Hindi']
हाँ में हाँ मिलाना,क्या तुम सच में उनकी हर बात में हाँ में हाँ मिलाओगे या अपनी राय रखोगे? ,हाँ में हाँ मिलाओगे,['informal'],['Khari Boli Hindi']
रान में ज़ोर होना,रान में ज़ोर होने पर संयम रखना जरूरी होता है।,रान में ज़ोर होने,"['informal', 'slang', 'vulgar']",['Khari Boli Hindi']
